### Starting TaskPrologue of job 1224692 on tg096 at Fri Sep 19 10:06:48 AM CEST 2025
Running on cores 64-95 with governor ondemand
Fri Sep 19 10:06:48 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:81:00.0 Off |                    0 |
| N/A   34C    P0             55W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
### Finished TaskPrologue

Activating virtual environment at /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env
Using Python: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env/bin/python
Using pip: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env/bin/pip
Starting training script with dataset: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/data/SysMLv2_data_v1.1.csv
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.8.6: Fast Qwen2 patching. Transformers: 4.55.2.
   \\   /|    NVIDIA A100-SXM4-40GB. Num GPUs = 1. Max memory: 39.494 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.8.0+cu128. CUDA: 8.0. CUDA Toolkit: 12.8. Triton: 3.4.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.32.post2. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Setting up trainer...
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 1.7185, 'grad_norm': 0.18753166496753693, 'learning_rate': 9e-05, 'epoch': 0.18}
{'loss': 1.447, 'grad_norm': 0.1858481615781784, 'learning_rate': 0.00019, 'epoch': 0.35}
{'loss': 1.3144, 'grad_norm': 0.20575444400310516, 'learning_rate': 0.00019871886120996442, 'epoch': 0.53}
{'loss': 1.2532, 'grad_norm': 0.2490146905183792, 'learning_rate': 0.00019729537366548042, 'epoch': 0.7}
{'loss': 1.1333, 'grad_norm': 0.1996069699525833, 'learning_rate': 0.00019587188612099645, 'epoch': 0.88}
{'loss': 1.104, 'grad_norm': 0.2803339660167694, 'learning_rate': 0.00019444839857651246, 'epoch': 1.05}
{'loss': 1.1302, 'grad_norm': 0.26136642694473267, 'learning_rate': 0.0001930249110320285, 'epoch': 1.23}
{'loss': 1.1035, 'grad_norm': 0.26171591877937317, 'learning_rate': 0.0001916014234875445, 'epoch': 1.4}
{'loss': 1.0123, 'grad_norm': 0.2506304085254669, 'learning_rate': 0.0001901779359430605, 'epoch': 1.58}
{'loss': 1.0576, 'grad_norm': 0.40485188364982605, 'learning_rate': 0.00018875444839857653, 'epoch': 1.75}
{'loss': 1.0521, 'grad_norm': 0.32939213514328003, 'learning_rate': 0.00018733096085409254, 'epoch': 1.93}
{'loss': 0.8884, 'grad_norm': 0.28476375341415405, 'learning_rate': 0.00018590747330960857, 'epoch': 2.11}
{'loss': 1.0271, 'grad_norm': 0.45470720529556274, 'learning_rate': 0.00018448398576512455, 'epoch': 2.28}
{'loss': 0.896, 'grad_norm': 0.37295693159103394, 'learning_rate': 0.00018306049822064058, 'epoch': 2.46}
{'loss': 0.9633, 'grad_norm': 0.35767656564712524, 'learning_rate': 0.00018163701067615658, 'epoch': 2.63}
{'loss': 0.955, 'grad_norm': 0.26758554577827454, 'learning_rate': 0.00018021352313167261, 'epoch': 2.81}
{'loss': 0.9874, 'grad_norm': 0.3337644636631012, 'learning_rate': 0.00017879003558718862, 'epoch': 2.98}
{'loss': 0.9233, 'grad_norm': 0.4259989559650421, 'learning_rate': 0.00017736654804270462, 'epoch': 3.16}
{'loss': 0.8856, 'grad_norm': 0.3549286127090454, 'learning_rate': 0.00017594306049822066, 'epoch': 3.33}
{'loss': 0.8756, 'grad_norm': 0.38342398405075073, 'learning_rate': 0.00017451957295373666, 'epoch': 3.51}
{'loss': 0.9107, 'grad_norm': 0.420165479183197, 'learning_rate': 0.0001730960854092527, 'epoch': 3.68}
{'loss': 0.887, 'grad_norm': 0.43438947200775146, 'learning_rate': 0.00017167259786476867, 'epoch': 3.86}
{'loss': 0.8338, 'grad_norm': 0.3180098235607147, 'learning_rate': 0.0001702491103202847, 'epoch': 4.04}
{'loss': 0.8424, 'grad_norm': 0.5708447098731995, 'learning_rate': 0.0001688256227758007, 'epoch': 4.21}
{'loss': 0.7968, 'grad_norm': 0.4631189703941345, 'learning_rate': 0.00016740213523131674, 'epoch': 4.39}
{'loss': 0.7747, 'grad_norm': 0.4541781544685364, 'learning_rate': 0.00016597864768683274, 'epoch': 4.56}
{'loss': 0.8584, 'grad_norm': 0.42334720492362976, 'learning_rate': 0.00016455516014234875, 'epoch': 4.74}
