### Starting TaskPrologue of job 1225987 on tg097 at Sat Sep 20 04:58:48 PM CEST 2025
Running on cores 0-7,40-63 with governor ondemand
Sat Sep 20 16:58:48 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:01:00.0 Off |                    0 |
| N/A   43C    P0             55W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
### Finished TaskPrologue

Activating virtual environment at /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env
Using Python: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env/bin/python
Using pip: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env/bin/pip
Starting training script with dataset: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/data/SysMLv2_data_v1.1.csv
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.8.6: Fast Qwen2 patching. Transformers: 4.55.2.
   \\   /|    NVIDIA A100-SXM4-40GB. Num GPUs = 1. Max memory: 39.494 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.8.0+cu128. CUDA: 8.0. CUDA Toolkit: 12.8. Triton: 3.4.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.32.post2. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Setting up trainer...
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 1.7999, 'grad_norm': 0.2280125468969345, 'learning_rate': 9e-05, 'epoch': 0.18}
{'loss': 1.4638, 'grad_norm': 0.18271410465240479, 'learning_rate': 0.00019, 'epoch': 0.35}
{'loss': 1.391, 'grad_norm': 0.20996226370334625, 'learning_rate': 0.00019839285714285716, 'epoch': 0.53}
{'loss': 1.276, 'grad_norm': 0.2510968744754791, 'learning_rate': 0.00019660714285714285, 'epoch': 0.7}
{'loss': 1.2096, 'grad_norm': 0.21754217147827148, 'learning_rate': 0.0001948214285714286, 'epoch': 0.88}
{'loss': 1.1045, 'grad_norm': 0.2844722867012024, 'learning_rate': 0.0001930357142857143, 'epoch': 1.05}
{'loss': 1.1364, 'grad_norm': 0.26212093234062195, 'learning_rate': 0.00019125000000000001, 'epoch': 1.23}
{'loss': 1.1101, 'grad_norm': 0.27245333790779114, 'learning_rate': 0.00018946428571428573, 'epoch': 1.4}
{'loss': 1.0904, 'grad_norm': 0.24438777565956116, 'learning_rate': 0.00018767857142857144, 'epoch': 1.58}
{'loss': 1.0804, 'grad_norm': 0.4039880931377411, 'learning_rate': 0.00018589285714285715, 'epoch': 1.75}
{'loss': 1.0853, 'grad_norm': 0.33730435371398926, 'learning_rate': 0.00018410714285714287, 'epoch': 1.93}
{'loss': 0.9518, 'grad_norm': 0.31190967559814453, 'learning_rate': 0.00018232142857142858, 'epoch': 2.11}
{'loss': 1.0666, 'grad_norm': 0.3710349202156067, 'learning_rate': 0.0001805357142857143, 'epoch': 2.28}
{'loss': 0.9576, 'grad_norm': 0.379323273897171, 'learning_rate': 0.00017875, 'epoch': 2.46}
{'loss': 0.9683, 'grad_norm': 0.4093228280544281, 'learning_rate': 0.00017696428571428572, 'epoch': 2.63}
{'loss': 1.0172, 'grad_norm': 0.3865821659564972, 'learning_rate': 0.00017517857142857144, 'epoch': 2.81}
{'loss': 0.9941, 'grad_norm': 0.33024272322654724, 'learning_rate': 0.00017339285714285715, 'epoch': 2.98}
{'loss': 0.9353, 'grad_norm': 0.4389518201351166, 'learning_rate': 0.00017160714285714286, 'epoch': 3.16}
{'loss': 0.9153, 'grad_norm': 0.41018468141555786, 'learning_rate': 0.00016982142857142858, 'epoch': 3.33}
{'loss': 0.9079, 'grad_norm': 0.43418747186660767, 'learning_rate': 0.0001680357142857143, 'epoch': 3.51}
